Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
2108743672,4451035271,Undirected,1211,,,1,,,,,,,,28.877,tertiary,آب,False,200911190
2108743668,5934053429,Undirected,1208,,,1,,,,,,,,228.831,tertiary,بلوار جمهوری اسلامی,True,200911198
2108743668,6419062253,Undirected,1209,,,1,,,yes,,"LINESTRING (55.9855096 30.3985067, 55.9857164 30.3986233, 55.9859393 30.398749, 55.9862879 30.3989455)",,,89.178,tertiary,خیابان امیرکبیر غربی,False,"[745470441, 1004660174, 628553919]"
2108743668,2108743672,Undirected,1210,,,1,,,,,,,,50.825,tertiary,,True,1004660175
9271116682,9271116683,Undirected,11074,,,1,,,,,,,,76.14,residential,جمهوری 49,False,1004849362
854462414,4633372825,Undirected,47,,,1,,,,,,,,33.103,tertiary,خیابان امیرکبیر شرقی,False,200911304
854462414,4633372820,Undirected,48,,,1,,,,,,,,26.245,secondary,خیابان امیرکبیر شرقی,False,781499661
854462414,5904864218,Undirected,49,,,1,,,,,,,82,52.403,secondary,خیابان امام خمینی,False,781499662
854462414,4633372823,Undirected,50,,,1,,,,,"LINESTRING (55.9965739 30.4049728, 55.9966274 30.4048775, 55.996704 30.4047978, 55.9967943 30.4046943)",,82,37.687999999999995,tertiary,خیابان امام خمینی,True,781499656
854462414,4633372822,Undirected,51,,,1,,,,,"LINESTRING (55.9967325 30.4048478, 55.9966767 30.404914, 55.9965739 30.4049728)",,82,20.931,tertiary,خیابان امام خمینی,True,781499655
4633372820,5904864225,Undirected,5231,,,1,,,,,,,,70.559,secondary,خیابان امیرکبیر شرقی,False,781499661
4633372820,4633372822,Undirected,5232,,,1,,,,,"LINESTRING (55.9967325 30.4048478, 55.9967187 30.4049025, 55.996714 30.4049353, 55.996716 30.4049682, 55.9967222 30.4050068, 55.9967376 30.4050454, 55.9967918 30.4051156)",,,31.813000000000002,secondary_link,,True,468868027
4633372823,5932720579,Undirected,5234,,,1,,,,,"LINESTRING (55.9967943 30.4046943, 55.9968217 30.4046629, 55.9970313 30.4044226)",,82,37.806999999999995,tertiary,خیابان امام خمینی,True,781499656
4633372823,4633372825,Undirected,5235,,,1,,,,,"LINESTRING (55.9962891 30.4048046, 55.9964325 30.4048179, 55.9964943 30.4048146, 55.996547 30.4048034, 55.9967943 30.4046943)",,,51.614000000000004,tertiary_link,,True,468868028
4633372822,7403722773,Undirected,5233,,,1,,,,,"LINESTRING (55.9989305 30.4023743, 55.9987017 30.4026376, 55.9986315 30.4027181, 55.9986045 30.402749, 55.9985021 30.4028664, 55.9984072 30.4029694, 55.9981325 30.4032902, 55.9972722 30.4042246, 55.9969928 30.4045239, 55.9968604 30.404693, 55.9967325 30.4048478)",,82,346.627,tertiary,خیابان امام خمینی,True,781499655
854462419,4629416923,Undirected,52,,,1,,,,,,,,137.394,secondary,پاسداران,False,37201705
854462419,4629416936,Undirected,53,,,1,,,,,,,,32.884,secondary,پاسداران,False,37201705
854462419,4629414732,Undirected,54,,,1,,,,,,,,55.826,tertiary,خیابان بهشتی,False,133914097
4629416923,7296413242,Undirected,4573,,,1,,,,,,,,54.92,secondary,پاسداران,False,37201705
